"filename", "language", "Go Checksum File", "Go Module File", "YAML", "Go", "pip requirements", "JSONC", "comment", "blank", "total"
"/home/logres/system/src/backend/opt/firefly-go/chaincode/mocks/transaction.go", "Go", 0, 0, 0, -151, 0, 0, 0, -16, -167
"/home/logres/system/src/backend/opt/firefly-go/firefly.go", "Go", 0, 0, 0, -18, 0, 0, 0, -6, -24
"/home/logres/system/src/backend/opt/firefly-go/go.mod", "Go Module File", 0, -35, 0, 0, 0, 0, 0, -4, -39
"/home/logres/system/src/backend/opt/firefly-go/go.sum", "Go Checksum File", -167, 0, 0, 0, 0, 0, 0, -1, -168
"/home/logres/system/src/backend/opt/oracle-go/go.mod", "Go Module File", 0, -6, 0, 0, 0, 0, -1, -3, -10
"/home/logres/system/src/backend/opt/oracle-go/go.sum", "Go Checksum File", -154, 0, 0, 0, 0, 0, 0, -1, -155
"/home/logres/system/src/backend/opt/oracle-go/oracle/oracle.go", "Go", 0, 0, 0, -104, 0, 0, 0, -29, -133
"/home/logres/system/src/backend/opt/oracle-go/oracle/oracle_client.go", "Go", 0, 0, 0, -26, 0, 0, 0, -5, -31
"/home/logres/system/src/backend/opt/oracle-go/oracle_stub.go", "Go", 0, 0, 0, -17, 0, 0, 0, -5, -22
"/home/logres/system/src/backend/opt/oracleFFI.json", "JSONC", 0, 0, 0, 0, 0, -40, 0, 0, -40
"/home/logres/system/src/backend/opt/stateCharts-go/go.mod", "Go Module File", 0, -3, 0, 0, 0, 0, 0, -3, -6
"/home/logres/system/src/backend/opt/stateCharts-go/go.sum", "Go Checksum File", -2110, 0, 0, 0, 0, 0, 0, -1, -2111
"/home/logres/system/src/backend/opt/stateCharts-go/stateCharts/stateCharts_client.go", "Go", 0, 0, 0, -37, 0, 0, 0, -11, -48
"/home/logres/system/src/backend/opt/stateCharts-go/stateCharts_stub.go", "Go", 0, 0, 0, -17, 0, 0, 0, -5, -22
"/home/logres/system/src/backend/opt/statechartFFI.json", "JSONC", 0, 0, 0, 0, 0, -60, 0, 0, -60
"/home/logres/system/src/backend/opt/statecharts-javascript-2.2/package.json", "JSONC", 0, 0, 0, 0, 0, -50, 0, -1, -51
"/home/logres/system/src/backend/requirements.txt", "pip requirements", 0, 0, 0, 0, -75, 0, 0, 0, -75
"Total", "-", -2332, 23, -591, -2423, -75, -234, -942, -274, -6848
