role,snapshot_path,line,needle
BPMN converter CLI,generator_snapshot/src/newTranslator/generator/bpmn_to_dsl.py,86,def main
BPMN translator and type mapping,generator_snapshot/src/newTranslator/generator/translator.py,30,BPMN_TYPE_TO_DSL
B2CDSL grammar,generator_snapshot/src/newTranslator/DSL/B2CDSL/b2cdsl/b2c.tx,17,BusinessRule
Go renderer/context/type+state mapping,generator_snapshot/src/newTranslator/CodeGenerator/b2cdsl-go/b2cdsl_go/__init__.py,592,class GoChaincodeRenderer
Go main template,generator_snapshot/src/newTranslator/CodeGenerator/b2cdsl-go/templates/contract.go.jinja,1,
Solidity renderer/context/type+state mapping,generator_snapshot/src/newTranslator/CodeGenerator/b2cdsl-solidity/b2cdsl_solidity/__init__.py,96,class SolidityRenderer
Solidity main template,generator_snapshot/src/newTranslator/CodeGenerator/b2cdsl-solidity/templates/contract.sol.jinja,1,
Participant binding input,generator_snapshot/src/newTranslator/generator/bindings.json,1,
