"filename", "language", "pip requirements", "JSONC", "Go Checksum File", "Go Module File", "Go", "YAML", "comment", "blank", "total"
"/home/logres/system/src/agent/cluster-manager/build/docker-compose-template.yml", "YAML", 0, 0, 0, 0, 0, -33, 0, -5, -38
"/home/logres/system/src/agent/cluster-manager/cmd/server/main.go", "Go", 0, 0, 0, 0, -47, 0, 0, -12, -59
"/home/logres/system/src/agent/cluster-manager/config.yml", "YAML", 0, 0, 0, 0, 0, -18, 0, -1, -19
"/home/logres/system/src/agent/cluster-manager/go.mod", "Go Module File", 0, 0, 0, -79, 0, 0, 0, -4, -83
"/home/logres/system/src/agent/cluster-manager/go.sum", "Go Checksum File", 0, 0, -277, 0, 0, 0, 0, -1, -278
"/home/logres/system/src/agent/cluster-manager/internal/api/router.go", "Go", 0, 0, 0, 0, -86, 0, 0, -17, -103
"/home/logres/system/src/agent/cluster-manager/internal/cluster/interface.go", "Go", 0, 0, 0, 0, -5, 0, 0, -3, -8
"/home/logres/system/src/agent/cluster-manager/internal/cluster/ipfscluster/ipfs-cluster.go", "Go", 0, 0, 0, 0, -67, 0, 0, -12, -79
"/home/logres/system/src/agent/cluster-manager/internal/cluster/ipfscluster/types.go", "Go", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/logres/system/src/agent/cluster-manager/internal/infra/config.go", "Go", 0, 0, 0, 0, -14, 0, 0, -4, -18
"/home/logres/system/src/agent/cluster-manager/internal/infra/logger.go", "Go", 0, 0, 0, 0, -14, 0, 0, -4, -18
"/home/logres/system/src/agent/cluster-manager/internal/infra/mysql.go", "Go", 0, 0, 0, 0, -16, 0, 0, -5, -21
"/home/logres/system/src/agent/cluster-manager/internal/infra/redis.go", "Go", 0, 0, 0, 0, -20, 0, 0, -6, -26
"/home/logres/system/src/agent/cluster-manager/internal/infra/registry.go", "Go", 0, 0, 0, 0, -24, 0, 0, -8, -32
"/home/logres/system/src/agent/cluster-manager/internal/models/cluster.go", "Go", 0, 0, 0, 0, -38, 0, 0, -7, -45
